2022-05-26 19:30:55,691 | ffb_crawler.ffb_extractor | INFO | running stock data extraction from FFB for dates 2022-05-25 to 2022-05-25
2022-05-26 19:30:55,691 | ffb_crawler.ffb_extractor | INFO | requesting csv for date 2022-05-25
2022-05-26 19:31:01,087 | ffb_crawler.ffb_extractor | INFO | parsing csv for date 2022-05-25
2022-05-26 19:31:02,733 | ffb_producer | INFO | User record b'DE000HG39ZN5' successfully produced to trade-events [0] at offset 0
2022-05-26 19:31:02,746 | ffb_producer | INFO | User record b'DE000KG237K8' successfully produced to trade-events [0] at offset 1
2022-05-26 19:31:02,762 | ffb_producer | INFO | User record b'DE000HG37XC7' successfully produced to trade-events [0] at offset 2
2022-05-26 19:31:02,778 | ffb_producer | INFO | User record b'DE000KG3LBR2' successfully produced to trade-events [0] at offset 3
2022-05-26 19:31:02,793 | ffb_producer | INFO | User record b'DE000PD6HZP4' successfully produced to trade-events [0] at offset 4
2022-05-26 19:31:02,809 | ffb_producer | INFO | User record b'DE000NG431U3' successfully produced to trade-events [0] at offset 5
2022-05-26 19:31:02,824 | ffb_producer | INFO | User record b'DE000VV14430' successfully produced to trade-events [0] at offset 6
2022-05-26 19:31:02,841 | ffb_producer | INFO | User record b'DE000VP5FHJ9' successfully produced to trade-events [0] at offset 7
2022-05-26 19:31:02,856 | ffb_producer | INFO | User record b'DE000PD5PNK6' successfully produced to trade-events [0] at offset 8
2022-05-26 19:31:02,871 | ffb_producer | INFO | User record b'DE000VV2NTS8' successfully produced to trade-events [0] at offset 9
2022-05-26 19:31:02,887 | ffb_producer | INFO | User record b'DE000DW138T8' successfully produced to trade-events [0] at offset 10
2022-05-26 19:31:02,903 | ffb_producer | INFO | User record b'DE000KE47785' successfully produced to trade-events [0] at offset 11
2022-05-26 19:31:02,918 | ffb_producer | INFO | User record b'DE000SH6Z568' successfully produced to trade-events [0] at offset 12
2022-05-26 19:31:02,933 | ffb_producer | INFO | User record b'DE000GH6GVQ0' successfully produced to trade-events [0] at offset 13
2022-05-26 19:31:02,950 | ffb_producer | INFO | User record b'DE000DW12G90' successfully produced to trade-events [0] at offset 14
2022-05-26 19:31:02,966 | ffb_producer | INFO | User record b'DE000NG5FFC9' successfully produced to trade-events [0] at offset 15
2022-05-26 19:31:02,981 | ffb_producer | INFO | User record b'DE000VQ6J665' successfully produced to trade-events [0] at offset 16
2022-05-26 19:31:02,996 | ffb_producer | INFO | User record b'DE000GK44LX8' successfully produced to trade-events [0] at offset 17
2022-05-26 19:31:03,011 | ffb_producer | INFO | User record b'DE000DW138T8' successfully produced to trade-events [0] at offset 18
2022-05-26 19:31:03,027 | ffb_producer | INFO | User record b'DE000GK3P904' successfully produced to trade-events [0] at offset 19
2022-05-26 19:31:03,043 | ffb_producer | INFO | User record b'DE000KB6F3K3' successfully produced to trade-events [0] at offset 20
2022-05-26 19:31:03,058 | ffb_producer | INFO | User record b'DE000VV1YWR3' successfully produced to trade-events [0] at offset 21
2022-05-26 19:31:03,075 | ffb_producer | INFO | User record b'DE000HB2C7Q4' successfully produced to trade-events [0] at offset 22
2022-05-26 19:31:03,090 | ffb_producer | INFO | User record b'DE000KG3VPN0' successfully produced to trade-events [0] at offset 23
2022-05-26 19:31:03,105 | ffb_producer | INFO | User record b'DE000HG19TR1' successfully produced to trade-events [0] at offset 24
2022-05-26 19:31:03,121 | ffb_producer | INFO | User record b'DE000SN2ELA7' successfully produced to trade-events [0] at offset 25
2022-05-26 19:31:03,137 | ffb_producer | INFO | User record b'DE000VV14976' successfully produced to trade-events [0] at offset 26
2022-05-26 19:31:03,151 | ffb_producer | INFO | User record b'DE000HB3M794' successfully produced to trade-events [0] at offset 27
2022-05-26 19:31:03,168 | ffb_producer | INFO | User record b'DE000DW138T8' successfully produced to trade-events [0] at offset 28
2022-05-26 19:31:03,184 | ffb_producer | INFO | User record b'DE000UK1MPA2' successfully produced to trade-events [0] at offset 29
2022-05-26 19:31:03,200 | ffb_producer | INFO | User record b'DE000PH9QBX0' successfully produced to trade-events [0] at offset 30
2022-05-26 19:31:03,214 | ffb_producer | INFO | User record b'CH1179145607' successfully produced to trade-events [0] at offset 31
2022-05-26 19:31:03,230 | ffb_producer | INFO | User record b'DE000GK4Y664' successfully produced to trade-events [0] at offset 32
2022-05-26 19:31:03,245 | ffb_producer | INFO | User record b'DE000VP5QAR4' successfully produced to trade-events [0] at offset 33
2022-05-26 19:31:03,261 | ffb_producer | INFO | User record b'DE000VV1YWR3' successfully produced to trade-events [0] at offset 34
2022-05-26 19:31:03,276 | ffb_producer | INFO | User record b'DE000KG3LBR2' successfully produced to trade-events [0] at offset 35
2022-05-26 19:31:03,291 | ffb_producer | INFO | User record b'DE000UH9CT61' successfully produced to trade-events [0] at offset 36
2022-05-26 19:31:03,306 | ffb_producer | INFO | User record b'DE000TT5J783' successfully produced to trade-events [0] at offset 37
2022-05-26 19:31:03,323 | ffb_producer | INFO | User record b'DE000GK3Y9S2' successfully produced to trade-events [0] at offset 38
2022-05-26 19:31:03,337 | ffb_producer | INFO | User record b'DE000UK0P4V2' successfully produced to trade-events [0] at offset 39
2022-05-26 19:31:03,352 | ffb_producer | INFO | User record b'DE000SH3WHH8' successfully produced to trade-events [0] at offset 40
2022-05-26 19:31:03,369 | ffb_producer | INFO | User record b'DE000KE814J8' successfully produced to trade-events [0] at offset 41
2022-05-26 19:31:03,385 | ffb_producer | INFO | User record b'DE000NG5E8V4' successfully produced to trade-events [0] at offset 42
2022-05-26 19:31:03,401 | ffb_producer | INFO | User record b'DE000VQ5M1J6' successfully produced to trade-events [0] at offset 43
2022-05-26 19:31:03,416 | ffb_producer | INFO | User record b'DE000SN01ZM0' successfully produced to trade-events [0] at offset 44
2022-05-26 19:31:03,431 | ffb_producer | INFO | User record b'DE000PD6HJG7' successfully produced to trade-events [0] at offset 45
2022-05-26 19:31:03,447 | ffb_producer | INFO | User record b'DE000DV26EM7' successfully produced to trade-events [0] at offset 46
2022-05-26 19:31:03,463 | ffb_producer | INFO | User record b'DE000VQ2DH94' successfully produced to trade-events [0] at offset 47
2022-05-26 19:31:03,478 | ffb_producer | INFO | User record b'DE000VX44AF0' successfully produced to trade-events [0] at offset 48
2022-05-26 19:31:03,494 | ffb_producer | INFO | User record b'DE000PF06PF6' successfully produced to trade-events [0] at offset 49
2022-05-26 19:31:03,510 | ffb_producer | INFO | User record b'DE000KG3KXM9' successfully produced to trade-events [0] at offset 50
2022-05-26 19:31:03,524 | ffb_producer | INFO | User record b'DE000UW4RMH3' successfully produced to trade-events [0] at offset 51
2022-05-26 19:31:03,539 | ffb_producer | INFO | User record b'DE000SN2ELA7' successfully produced to trade-events [0] at offset 52
2022-05-26 19:31:03,556 | ffb_producer | INFO | User record b'DE000UH5RCF4' successfully produced to trade-events [0] at offset 53
2022-05-26 19:31:03,571 | ffb_producer | INFO | User record b'DE000VQ4TKL2' successfully produced to trade-events [0] at offset 54
2022-05-26 19:31:03,586 | ffb_producer | INFO | User record b'DE000KG1CP58' successfully produced to trade-events [0] at offset 55
2022-05-26 19:31:03,602 | ffb_producer | INFO | User record b'DE000VP5QAR4' successfully produced to trade-events [0] at offset 56
2022-05-26 19:31:03,618 | ffb_producer | INFO | User record b'DE000CU02FX6' successfully produced to trade-events [0] at offset 57
2022-05-26 19:31:03,633 | ffb_producer | INFO | User record b'DE000DFZ8962' successfully produced to trade-events [0] at offset 58
2022-05-26 19:31:03,648 | ffb_producer | INFO | User record b'DE000SH89LF1' successfully produced to trade-events [0] at offset 59
2022-05-26 19:31:03,663 | ffb_producer | INFO | User record b'DE000KG3KXM9' successfully produced to trade-events [0] at offset 60
2022-05-26 19:31:03,679 | ffb_producer | INFO | User record b'DE000VV1FBW6' successfully produced to trade-events [0] at offset 61
2022-05-26 19:31:03,695 | ffb_producer | INFO | User record b'DE000KF8JJ70' successfully produced to trade-events [0] at offset 62
2022-05-26 19:31:03,710 | ffb_producer | INFO | User record b'DE000UK042B3' successfully produced to trade-events [0] at offset 63
2022-05-26 19:31:03,726 | ffb_producer | INFO | User record b'DE000PD6F6Q8' successfully produced to trade-events [0] at offset 64
2022-05-26 19:31:03,742 | ffb_producer | INFO | User record b'DE000PD3JVG5' successfully produced to trade-events [0] at offset 65
2022-05-26 19:31:03,758 | ffb_producer | INFO | User record b'DE000SD8Y413' successfully produced to trade-events [0] at offset 66
2022-05-26 19:31:03,773 | ffb_producer | INFO | User record b'DE000GK2BRS9' successfully produced to trade-events [0] at offset 67
2022-05-26 19:31:03,788 | ffb_producer | INFO | User record b'DE000DW014P9' successfully produced to trade-events [0] at offset 68
2022-05-26 19:31:03,805 | ffb_producer | INFO | User record b'DE000SD76V41' successfully produced to trade-events [0] at offset 69
2022-05-26 19:31:03,820 | ffb_producer | INFO | User record b'DE000DW2M803' successfully produced to trade-events [0] at offset 70
2022-05-26 19:31:03,836 | ffb_producer | INFO | User record b'DE000DW12NG8' successfully produced to trade-events [0] at offset 71
2022-05-26 19:31:03,852 | ffb_producer | INFO | User record b'DE000VX8D6T8' successfully produced to trade-events [0] at offset 72
2022-05-26 19:31:03,868 | ffb_producer | INFO | User record b'DE000SH47393' successfully produced to trade-events [0] at offset 73
2022-05-26 19:31:03,883 | ffb_producer | INFO | User record b'DE000GK3R4G7' successfully produced to trade-events [0] at offset 74
2022-05-26 19:31:03,898 | ffb_producer | INFO | User record b'DE000GX7VMN3' successfully produced to trade-events [0] at offset 75
2022-05-26 19:31:03,913 | ffb_producer | INFO | User record b'DE000UK0TPT9' successfully produced to trade-events [0] at offset 76
2022-05-26 19:31:03,929 | ffb_producer | INFO | User record b'DE000GX1YEC0' successfully produced to trade-events [0] at offset 77
2022-05-26 19:31:03,945 | ffb_producer | INFO | User record b'DE000PH72J32' successfully produced to trade-events [0] at offset 78
